"Year" ,"Make","Model","Length"
1997,"Ford","F350","2.34"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
1997,"Ford","F350","2.34"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
1997,"Ford","F350","2.34"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
1997,"Ford","F350","2.34"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
1997,"Ford","F350","2.34"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
"2000","Mercury","Cougar","2.38"
